,index,200DayMovingAverage,50DayMovingAverage,52WeekHigh,52WeekLow,Address,AnalystTargetPrice,AssetType,Beta,BookValue,Country,Currency,Description,DilutedEPSTTM,DividendDate,DividendPerShare,DividendYield,EBITDA,EPS,EVToEBITDA,EVToRevenue,ExDividendDate,Exchange,FiscalYearEnd,ForwardAnnualDividendRate,ForwardAnnualDividendYield,ForwardPE,FullTimeEmployees,GrossProfitTTM,Industry,LastSplitDate,LastSplitFactor,LatestQuarter,MarketCapitalization,Name,OperatingMarginTTM,PEGRatio,PERatio,PayoutRatio,PercentInsiders,PercentInstitutions,PriceToBookRatio,PriceToSalesRatioTTM,ProfitMargin,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenuePerShareTTM,RevenueTTM,Sector,SharesFloat,SharesOutstanding,SharesShort,SharesShortPriorMonth,ShortPercentFloat,ShortPercentOutstanding,ShortRatio,Symbol,TrailingPE,ticker
0,0,32.3869,40.8582,69.6776,10.7961,"100 West Fifth Street, Tulsa, OK, United States, 74103",40.27,Common Stock,1.9543,13.83,USA,USD,"ONEOK, Inc., together with its subsidiaries, engages in gathering, processing, storage, and transportation of natural gas in the United States. It operates through Natural Gas Gathering and Processing, Natural Gas Liquids, and Natural Gas Pipelines segments. The company owns natural gas gathering pipelines and processing plants in the Mid-Continent and Rocky Mountain regions. It also gathers, treats, fractionates, and transports natural gas liquids (NGL), as well as stores, markets, and distributes NGL products. The company owns NGL gathering and distribution pipelines in Oklahoma, Kansas, Texas, New Mexico, Montana, North Dakota, Wyoming, and Colorado; terminal and storage facilities in Missouri, Nebraska, Iowa, and Illinois; and NGL distribution and refined petroleum products pipelines in Kansas, Missouri, Nebraska, Iowa, Illinois, and Indiana, as well as owns and operates truck- and rail-loading, and -unloading facilities that interconnect with its NGL fractionation and pipeline assets. In addition, it operates regulated interstate and intrastate natural gas transmission pipelines and natural gas storage facilities. Further, the company owns and operates a parking garage in downtown Tulsa, Oklahoma; and leases excess office space to others. It serves integrated and independent exploration and production companies; NGL and natural gas gathering and processing companies; crude oil and natural gas production companies; propane distributors; ethanol producers; and petrochemical, refining, and NGL marketing companies, as well as natural gas distribution companies, electric-generation facilities, industrial companies, municipalities, producers, processors, and marketing companies. The company was founded in 1906 and is headquartered in Tulsa, Oklahoma.",1.46,2021-02-12,3.74,0.0939,2448167936,1.46,15.5374,3.6611,2021-01-29,NYSE,December,3.74,0.0939,13.089,2882,3376327000,Oil & Gas Midstream,2014-02-03,11422:1000,2020-09-30,17700333568,"ONEOK, Inc",0.2196,2.3626,27.2808,2.0216,0.586,66.424,2.8799,1.9568,0.0724,-0.054,-0.039,0.0537,0.1011,20.402,8635271168,Energy,441468835,444396992,8031660,9455941,0.0229,0.02,2.54,OKE,27.2808,OKE
0,0,32.3869,40.8582,69.6776,10.7961,"100 West Fifth Street, Tulsa, OK, United States, 74103",40.27,Common Stock,1.9543,13.83,USA,USD,"ONEOK, Inc., together with its subsidiaries, engages in gathering, processing, storage, and transportation of natural gas in the United States. It operates through Natural Gas Gathering and Processing, Natural Gas Liquids, and Natural Gas Pipelines segments. The company owns natural gas gathering pipelines and processing plants in the Mid-Continent and Rocky Mountain regions. It also gathers, treats, fractionates, and transports natural gas liquids (NGL), as well as stores, markets, and distributes NGL products. The company owns NGL gathering and distribution pipelines in Oklahoma, Kansas, Texas, New Mexico, Montana, North Dakota, Wyoming, and Colorado; terminal and storage facilities in Missouri, Nebraska, Iowa, and Illinois; and NGL distribution and refined petroleum products pipelines in Kansas, Missouri, Nebraska, Iowa, Illinois, and Indiana, as well as owns and operates truck- and rail-loading, and -unloading facilities that interconnect with its NGL fractionation and pipeline assets. In addition, it operates regulated interstate and intrastate natural gas transmission pipelines and natural gas storage facilities. Further, the company owns and operates a parking garage in downtown Tulsa, Oklahoma; and leases excess office space to others. It serves integrated and independent exploration and production companies; NGL and natural gas gathering and processing companies; crude oil and natural gas production companies; propane distributors; ethanol producers; and petrochemical, refining, and NGL marketing companies, as well as natural gas distribution companies, electric-generation facilities, industrial companies, municipalities, producers, processors, and marketing companies. The company was founded in 1906 and is headquartered in Tulsa, Oklahoma.",1.46,2021-02-12,3.74,0.0939,2448167936,1.46,15.5374,3.6611,2021-01-29,NYSE,December,3.74,0.0939,13.089,2882,3376327000,Oil & Gas Midstream,2014-02-03,11422:1000,2020-09-30,17700333568,"ONEOK, Inc",0.2196,2.3626,27.2808,2.0216,0.586,66.424,2.8799,1.9568,0.0724,-0.054,-0.039,0.0537,0.1011,20.402,8635271168,Energy,441468835,444396992,8031660,9455941,0.0229,0.02,2.54,OKE,27.2808,OKE
0,0,20.587,21.3691,22.88,7.9417,"One Williams Center, Tulsa, OK, United States, 74172",25.3,Common Stock,1.6203,9.918,USA,USD,"The Williams Companies, Inc., together with its subsidiaries, operates as an energy infrastructure company primarily in the United States. It operates through Atlantic-Gulf, Northeast G&P, and West segments. The Atlantic-Gulf segment comprises Transco, an interstate natural gas pipeline; and natural gas gathering and processing, and crude oil production handling and transportation assets. The Northeast G&P segment engages in the midstream gathering, processing, and fractionation activities. The West segment comprises Northwest Pipeline, an interstate natural gas pipeline; and gas gathering, processing, and treating operations. The company owns and operates 30,000 miles of pipelines, 28 processing facilities, 7 fractionation facilities, and approximately 23 million barrels of NGL storage capacity. The Williams Companies, Inc. was founded in 1908 and is headquartered in Tulsa, Oklahoma.",0.178,2020-12-28,1.64,0.0772,4203000064,0.178,16.355,6.4202,2021-03-11,NYSE,December,1.64,0.0772,17.6367,4812,4699000000,Oil & Gas Midstream,2012-01-03,10000:8152,2020-09-30,25764515840,"The Williams Companies, Inc",0.3205,0.8209,119.2697,2.0513,0.15,88.294,2.2698,3.5336,0.0283,0.389,-0.033,0.0342,0.0011,6.375,7734000128,Energy,1210806606,1213590016,24132614,23184515,0.0224,0.02,2.66,WMB,119.2697,WMB
0,0,14.8328,14.9342,18.66,4.21,"EQT Plaza, Pittsburgh, PA, United States, 15222",20.76,Common Stock,1.2458,34.643,USA,USD,"EQT Corporation operates as a natural gas production company in the United States. The company produces natural gas, natural gas liquids (NGLs), and crude oil. As of December 31, 2019, it had 17.5 trillion cubic feet of proved natural gas, NGLs, and crude oil reserves across approximately 1.3 million gross acres. The company was founded in 1925 and is headquartered in Pittsburgh, Pennsylvania.",-8.642,2020-03-01,0.12,0.0123,850748992,-1.407,43.9095,3.4193,2020-02-13,NYSE,December,0,0.0123,59.5238,647,1893313000,Oil & Gas E&P,2018-11-13,1837:1000,2020-09-30,4495019520,EQT Corporation,-0.2359,4.56,None,0,1.06,91.734,0.4982,1.5309,-0.8481,0,-0.221,-0.0203,-0.2237,10.189,2603137024,Energy,254136802,275599008,21990250,16494011,0.0893,0.08,3.47,EQT,0,EQT
0,0,83.4442,89.1273,106.562,49.4038,"6001 Bollinger Canyon Road, San Ramon, CA, United States, 94583-2324",104.3,Common Stock,1.3183,70.568,USA,USD,"Chevron Corporation, through its subsidiaries, engages in integrated energy, chemicals, and petroleum operations worldwide. The company operates in two segments, Upstream and Downstream. The Upstream segment is involved in the exploration, development, and production of crude oil and natural gas; processing, liquefaction, transportation, and regasification associated with liquefied natural gas; transportation of crude oil through pipelines; and transportation, storage, and marketing of natural gas, as well as operates a gas-to-liquids plant. The Downstream segment engages in refining crude oil into petroleum products; marketing crude oil and refined products; transporting crude oil and refined products through pipeline, marine vessel, motor equipment, and rail car; and manufacturing and marketing commodity petrochemicals, and fuel and lubricant additives, as well as plastics for industrial uses. Chevron Corporation is also involved in the cash management and debt financing activities; insurance operations; real estate activities; and technology businesses. The company was formerly known as ChevronTexaco Corporation and changed its name to Chevron Corporation in 2005. Chevron Corporation was founded in 1879 and is headquartered in San Ramon, California.",-2.964,2020-12-10,5.16,0.058,12743999488,2.055,11.7787,1.9472,2021-02-16,NYSE,December,5.16,0.058,30.03,48200,44204000000,Oil & Gas Integrated,2004-09-13,2:1,2020-12-31,164010852352,Chevron Corporation,-0.0714,0.7746,43.7692,4.0028,0.04,62.862,1.3279,1.6251,-0.0585,0.388,-0.27,-0.0131,-0.0401,50.637,94691999744,Energy,1866221727,1925010048,16049088,17401481,0.0083,0.01,1.5,CVX,43.7692,CVX
0,0,51.6078,57.5121,80.8264,29.4605,"One Valero Way, San Antonio, TX, United States, 78249",67.24,Common Stock,2.1266,47.141,USA,USD,"Valero Energy Corporation manufactures and sells transportation fuels and petrochemical products in the United States, Canada, the United Kingdom, Ireland, and internationally. It operates through three segments: Refining, Ethanol, and Renewable Diesel. The company is involved in oil and gas refining, marketing, and bulk selling activities. It produces conventional and premium gasolines, gasoline meeting the specifications of the California Air Resources Board (CARB), diesel fuels, low-sulfur and ultra-low-sulfur diesel fuels, CARB diesel, other distillates, jet fuels, asphalts, petrochemicals, lubricants, and other refined petroleum products. As of December 31, 2019, the company owned 15 petroleum refineries with a combined throughput capacity of approximately 3.15 million barrels per day. It markets its refined products through wholesale rack and bulk markets; and through approximately 7,000 outlets under the Valero, Beacon, Diamond Shamrock, Shamrock, Ultramar, and Texaco brand names. The company also produces and sells ethanol, distiller grains, and corn oil primarily to refiners and gasoline blenders, as well as to animal feed customers. It owns and operates 14 ethanol plants with a combined ethanol production capacity of approximately 1.73 billion gallons per year. In addition, the company owns, operates, develops, and acquires crude oil and refined petroleum products pipelines, terminals, and other transportation and logistics assets. Further, it owns and operates a plant that processes animal fats, used cooking oils, and other vegetable oils into renewable diesel. The company was formerly known as Valero Refining and Marketing Company and changed its name to Valero Energy Corporation in August 1997. Valero Energy Corporation was founded in 1980 and is headquartered in San Antonio, Texas.",-3.5,2020-12-09,3.92,0.0672,776332736,2.602,11.3511,0.4646,2021-02-10,NYSE,December,3.92,0.0672,65.7895,0,1266000000,Oil & Gas Refining & Marketing,2013-05-02,1094:1000,2020-12-31,23011532800,Valero Energy Corporation,-0.0239,9.4897,17.0469,0,0.344,79.343,1.2603,0.3176,-0.0219,1.089,-0.372,0.0084,-0.052,159.489,64911998976,Energy,406198839,407788992,9657108,11845193,0.0238,0.02,2.43,VLO,17.0469,VLO
0,0,19.801,18.782,0,0,"4200 West 115th Street, Leawood, KS, United States, 66211",22.45,Common Stock,0.8625,10.033,USA,USD,"Tallgrass Energy, LP, through its subsidiaries, provides crude oil transportation services to customers in Wyoming, Colorado, Kansas, and the surrounding regions of the United States. The company operates through three segments: Natural Gas Transportation; Crude Oil Transportation; and Gathering, Processing & Terminalling. It also provides natural gas transportation and storage services for customers in the Rocky Mountain, Midwest, and Appalachian regions; natural gas and crude oil gathering and processing services for customers in Wyoming; and natural gas liquids (NGLs) transportation services in Northeast Colorado and Wyoming. In addition, the company offers water business services, including freshwater transportation, and produced water gathering and disposal in Colorado, Texas, Wyoming, and North Dakota; crude oil storage and terminalling services in Colorado, Oklahoma, and Kansas; and marketing services for NGLs and crude oil. The company was formerly known as Tallgrass Energy GP, LP and changed its name to Tallgrass Energy, LP in June 2018. Tallgrass Energy, LP was founded in 2012 and is based in Leawood, Kansas.",1.416,2019-11-14,2.14,0.0956,501128000,1.416,19.9343,11.2146,2019-10-30,NYSE,December,2.14,0.0956,21.5054,800,622000000,Oil & Gas Midstream,None,None,2019-12-31,6308807680,"Tallgrass Energy, LP",0.421,None,15.7676,1.507,3,94,3.5014,4.5499,0.2865,-0.206,0.058,0.0378,0.2034,4.968,868547968,Energy,151845241,179632992,4137648,7984236,0.0272,0.01,0.53,TGE,15.7676,TGE
0,0,39.9635,44.717,58.35,28.2835,"5959 Las Colinas Boulevard, Irving, TX, United States, 75039-2298",50.78,Common Stock,1.344,41.956,USA,USD,"Exxon Mobil Corporation explores for and produces crude oil and natural gas in the United States, Canada/other Americas, Europe, Africa, Asia, and Australia/Oceania. It operates through Upstream, Downstream, and Chemical segments. The company is also involved in the manufacture, trade, transport, and sale of crude oil, petroleum products, and other specialty products; and manufactures and markets petrochemicals, including olefins, polyolefins, aromatics, and various other petrochemicals. As of December 31, 2019, it had approximately 23,857 net operated wells with proved reserves of 22.4 billion oil-equivalent barrels. In addition, the company produces raw materials, such as polypropylene and isopropyl alcohol for medical masks, gowns, and hand sanitizer. The company was founded in 1870 and is based in Irving, Texas.",0.778,2020-12-10,3.48,0.0776,18672001024,0.778,9.6613,1.2742,2021-02-09,NYSE,December,3.48,0.0776,21.645,74900,77152000000,Oil & Gas Integrated,2001-07-19,2:1,2020-09-30,189593829376,Exxon Mobil Corporation,-0.005,2.0494,57.635,4.4615,0.087,52.204,1.0687,0.9776,0.017,-0.492,-0.284,-0.0017,0.0162,45.869,195860004864,Energy,4218509176,4228229888,44213065,44630327,0.0105,0.01,1.51,XOM,57.635,XOM
0,0,11.638,13.2603,22.0176,4.3475,"300 Peach Street, El Dorado, AR, United States, 71730-7000",15.15,Common Stock,3.3256,27.437,USA,USD,"Murphy Oil Corporation operates as an oil and natural gas exploration and production company in the United States, Canada, and internationally. It explores for and produces crude oil, natural gas, and natural gas liquids. The company was formerly known as Murphy Corporation and changed its name to Murphy Oil Corporation in 1964. Murphy Oil Corporation was incorporated in 1950 and is headquartered in El Dorado, Arkansas.",-7.484,2020-12-01,0.5,0.0404,937116032,1.827,10.4474,2.6477,2020-11-13,NYSE,December,0.5,0.0404,63.2911,822,979234000,Oil & Gas E&P,2013-09-03,1158:1000,2020-12-31,1900019712,Murphy Oil Corporation,-0.0679,5.4813,20.3846,0,5.376,83.029,0.4428,0.9311,-0.6558,11.591,-0.428,-0.0067,-0.2462,11.411,1751709056,Energy,144590066,153599008,17872417,20669418,0.1993,0.12,4.31,MUR,20.3846,MUR
0,0,20.1059,23.4582,28.6705,8.9847,"1 Fountain Square, Chattanooga, TN, United States, 37402",23.73,Common Stock,1.7558,53.501,USA,USD,"Unum Group, together with its subsidiaries, provides financial protection benefit solutions in the United States, the United Kingdom, Poland, and internationally. It operates through Unum US, Unum International, Colonial Life, and Closed Block segments. The company offers group long-term and short-term disability, group life, and accidental death and dismemberment products; supplemental and voluntary products, such as individual disability, voluntary benefits, and dental and vision products; and accident, sickness, disability, life, and cancer and critical illness products. It also provides group pension, individual life and corporate-owned life insurance, reinsurance pools and management operations, and other products. The company sells its products primarily to employers for the benefit of employees. Unum Group sells its products through field sales personnel, independent brokers, and consultants, as well as independent contractor agency sales force. The company was founded in 1848 and is based in Chattanooga, Tennessee.",4.666,2021-02-19,1.14,0.0491,1521100032,4.666,0,0.6715,2021-01-28,NYSE,December,1.14,0.0491,4.5106,10300,3428700000,Insurance-Life,1997-06-03,2:1,2020-09-30,4731068416,Unum Group,0.1181,2.5,4.9786,0.2192,0.752,91.466,0.4344,0.3978,0.08,-0.026,0.012,0.0129,0.0929,58.432,11923200000,Financial Services,202647807,203662000,5576032,6254143,0.0314,0.03,2.36,UNM,4.9786,UNM
0,0,24.2947,25.045,29.42,15.4519,"One Liberty Plaza, New York, NY, United States, 10006",27,Common Stock,-0.2658,11.367,USA,USD,"Virtu Financial, Inc., together with its subsidiaries, provides market making and liquidity services through its proprietary, multi-asset, and multi-currency technology platform to the financial markets worldwide. The company's Market Making segment principally consists of market making in the cash, futures, and options markets across equities, options, fixed income, currencies, and commodities. Its Execution Services segment comprises agency-based trading and trading venues, which offer execution services in equities, ETFs, futures, fixed income, currencies, and commodities to institutions, banks, and broker dealers. Virtu Financial, Inc. was founded in 2008 and is headquartered in New York, New York.",4.181,2020-12-15,0.96,0.0356,None,4.181,5.6085,2.522,2020-11-30,NASDAQ,December,0.96,0.0356,9.9108,1012,495071000,Capital Markets,None,None,2020-09-30,5372883968,"Virtu Financial, Inc",0.4195,-9.42,6.642,0.1975,0.661,94.208,3.4408,1.0097,0.1986,0,0.715,0.096,0.576,21.699,2613893888,Financial Services,88973672,122919000,2480620,2164165,0.0301,0.01,2.78,VIRT,6.642,VIRT
0,0,39.836,44.9824,51.9369,22.566,"1932 Wynnton Road, Columbus, GA, United States, 31999",44.4,Common Stock,0.9664,46.163,USA,USD,"Aflac Incorporated, through its subsidiaries, provides supplemental health and life insurance products. It operates through two segments, Aflac Japan and Aflac U.S. The Aflac Japan segment offers cancer, medical, income support, and whole and term life insurance products, as well as WAYS and child endowment plans under saving type insurance products. The Aflac U.S. segment provides cancer, accident, short-term disability, critical illness, hospital indemnity, dental, vision, and term and whole life insurance products in the United States. It sells its products through sales associates, brokers, independent corporate agencies, individual agencies, and affiliated corporate agencies. The company was founded in 1955 and is headquartered in Columbus, Georgia.",6.357,2021-03-01,1.32,0.0292,4272000000,6.357,0,1.5681,2021-02-16,NYSE,December,1.32,0.0292,9.1324,11729,7762000000,Insurance-Life,2018-03-19,2:1,2020-09-30,31736465408,Aflac Incorporated,0.194,0.93,7.1071,0.2383,8.691,61.629,0.9771,1.5099,0.211,2.308,0.023,0.0168,0.1488,30.254,21837000704,Financial Services,645174884,702444992,7707585,9101459,0.0111,0.01,2.13,AFL,7.1071,AFL
0,0,921.3104,1013.6967,1166.7825,629.21,"A.S. Cooper Building, Hamilton, Bermuda, HM 11",360,Common Stock,0.4911,1114.026,USA,USD,"White Mountains Insurance Group, Ltd., through its subsidiaries, provides insurance services in the United States. The company operates through four segments: HG Global/BAM, NSM, MediaAlpha, Kudu, and Other Operations. The HG Global/BAM segment provides insurance on municipal bonds issued to finance public purposes, such as schools, utilities, and transportation facilities, as well as reinsurance protection services. The NSM segment operates as a general underwriting agency and program administrator for specialty property and casualty insurance to sectors, such as specialty transportation, social services, and real estate. The MediaAlpha segment operates MediaAlpha, a marketing technology that enables programmatic buying and selling of vertical specific, performance-based media between advertisers, and publishers through cost-per-click, cost-per-call, and cost-per-lead pricing models. The Kudu segment provides capital solutions to asset managers and registered investment advisors for general ownership transfers, management buyouts, acquisitions, growth finances, and legacy partner liquidity. The Other Operations segment offers insurance solutions to travel industry through broker channel; and manages separate accounts and pooled investment vehicles for insurance-linked securities sectors, including catastrophe bonds, collateralized reinsurance investments, and industry loss warranties of third-party clients. White Mountains Insurance Group, Ltd. was incorporated in 1980 and is headquartered in Hamilton, Bermuda.",89.161,2020-03-25,1,0.001,408800000,89.161,0,3.9615,2020-03-13,NYSE,December,1,0.001,0,1262,767600000,Insurance-Property & Casualty,None,None,2020-09-30,3164050176,"White Mountains Insurance Group, Ltd",0.4449,9.93,11.44,0.0068,2.615,89.089,0.9285,3.7887,0.3357,3.915,1.955,0.0565,0.0743,269.224,835200000,Financial Services,2983932,3102010,18303,20139,0.0068,0.01,1.23,WTM,11.44,WTM
0,0,37.1083,39.9388,41.74,15.3515,"30 Hudson Yards, New York, NY, United States, 10001",47.3,Common Stock,1.4238,18.711,USA,USD,"KKR & Co. Inc. is a private equity and real estate investment firm specializing in direct and fund of fund investments. It specializes in acquisitions, leveraged buyouts, management buyouts, credit special situations, growth equity, mature, mezzanine, distressed, turnaround, lower middle market and middle market investments. The firm considers investments in all industries with a focus on software, security, semiconductors, consumer electronics, internet of things (iot), internet, information services, information technology infrastructure, financial technology, network and cyber security architecture, engineering and operations, content, technology and hardware, energy and infrastructure, real estate, services industry with a focus on business services, intelligence, industry-leading franchises and companies in natural resource, containers and packaging, agriculture, airports, ports, forestry, electric utilities, textiles, apparel and luxury goods, household durables, digital media, insurance, brokerage houses, non-durable goods distribution, supermarket retailing, grocery stores, food, beverage, and tobacco, hospitals, entertainment venues and production companies, publishing, printing services, capital goods, financial services, specialized finance, pipelines, and renewable energy. In energy and infrastructure, it focuses on the upstream oil and gas and equipment, minerals and royalties and services verticals. In real estate, the firm seeks to invest in private and public real estate securities including property-level equity, debt and special situations transactions and businesses with significant real estate holdings, and oil and natural gas properties. The firm also invests in asset services sector that encompasses a broad array of B2B, B2C and B2G services verticals including asset-based, transport, logistics, leisure/hospitality, resource and utility support, infra-like, mission-critical, and environmental services. Within Americas, the firm prefers to invest in consumer products; chemicals, metals and mi",1.707,2020-12-01,0.54,0.0139,None,1.707,14.838,15.0936,2020-11-13,NYSE,December,0.54,0.0139,15.9236,1384,7907306000,Asset Management,None,None,2020-09-30,22169911296,KKR & Co. Inc,0.5003,0.13,22.8178,0.4109,4.071,78.01,2.0922,6.7392,0.2152,3.171,3.496,0.0314,0.0642,8.436,4715609088,Financial Services,500248913,569188992,7871561,7508440,0.0145,0.01,3.52,KKR,22.8178,KKR
0,0,39.836,44.9824,51.9369,22.566,"1932 Wynnton Road, Columbus, GA, United States, 31999",44.4,Common Stock,0.9664,46.163,USA,USD,"Aflac Incorporated, through its subsidiaries, provides supplemental health and life insurance products. It operates through two segments, Aflac Japan and Aflac U.S. The Aflac Japan segment offers cancer, medical, income support, and whole and term life insurance products, as well as WAYS and child endowment plans under saving type insurance products. The Aflac U.S. segment provides cancer, accident, short-term disability, critical illness, hospital indemnity, dental, vision, and term and whole life insurance products in the United States. It sells its products through sales associates, brokers, independent corporate agencies, individual agencies, and affiliated corporate agencies. The company was founded in 1955 and is headquartered in Columbus, Georgia.",6.357,2021-03-01,1.32,0.0292,4272000000,6.357,0,1.5681,2021-02-16,NYSE,December,1.32,0.0292,9.1324,11729,7762000000,Insurance-Life,2018-03-19,2:1,2020-09-30,31736465408,Aflac Incorporated,0.194,0.93,7.1071,0.2383,8.691,61.629,0.9771,1.5099,0.211,2.308,0.023,0.0168,0.1488,30.254,21837000704,Financial Services,645174884,702444992,7707585,9101459,0.0111,0.01,2.13,AFL,7.1071,AFL
0,0,204.893,237.2594,254.39,82.07,"2211 North First Street, San Jose, CA, United States, 95131",256.07,Common Stock,1.1161,15.77,USA,USD,"PayPal Holdings, Inc. operates as a technology platform and digital payments company that enables digital and mobile payments on behalf of consumers and merchants worldwide. Its payment solutions include PayPal, PayPal Credit, Braintree, Venmo, Xoom, and iZettle products. The company's payments platform allows consumers to send and receive payments, withdraw funds to their bank accounts, and hold balances in their PayPal accounts in various currencies. It also offers gateway services that enable merchants to accept payments online with credit or debit cards, as well as digital wallets. PayPal Holdings, Inc. was founded in 1998 and is headquartered in San Jose, California.",2.65,None,None,0,4030000128,2.65,50.2272,13.2676,None,NASDAQ,December,0,0,51.8135,23200,7987000000,Credit Services,None,None,2020-09-30,274538676224,"PayPal Holdings, Inc",0.1583,2.3231,88.4189,0,0.105,85.537,14.8536,13.6957,0.1548,1.205,0.247,0.0347,0.1795,17.302,20298999808,Financial Services,1170344363,1171689984,13168513,13780884,0.0113,0.01,1.86,PYPL,88.4189,PYPL
0,0,307.0741,414.5784,497.8519,127.39,"3003 Tasman Drive, Santa Clara, CA, United States, 95054-1191",494.17,Common Stock,2.1465,151.856,USA,USD,"SVB Financial Group, a diversified financial services company, provides various banking and financial products and services. The company operates through four segments: Global Commercial Bank, SVB Private Bank, SVB Capital, and SVB Leerink. The Global Commercial Bank segment offers deposit products, such as business and analysis checking, money market, multi-currency, in-country bank, and sweep accounts, as well as merchant, remote capture, lockbox, electronic deposit capture, and fraud control services; credit products and services comprising term loans, equipment loans, asset-based loans, revolving lines of credit, accounts-receivable-based lines of credit, capital call lines of credit, and credit cards; and payment and cash management products and services, including wire transfer and automated clearing house payment, bill pay, debit and credit cards, account analysis, and disbursement, as well as online and mobile banking services. This segment also provides foreign exchange services; export, import, and standby letter of credit; investment services and solutions; investment advisory services; vineyard development loans; and debt fund investment services. The SVB Private Bank segment offers private banking services, such as mortgages, home equity and capital call lines of credit, restricted stock purchase loans, and other secured and unsecured lending products, as well as cash and wealth management services. The SVB Capital segment provides venture capital investment services that manage funds on behalf of third party limited partner investors. The SVB Leerink segment engages in equity and convertible capital markets, mergers and acquisitions, equity research and sales, trading, and investment banking services. It operates through 30 offices in the United States; and offices in Canada, the United Kingdom, Israel, Germany, Denmark, India, Hong Kong, and China. SVB Financial Group was founded in 1983 and is headquartered in Santa Clara, California.",22.87,None,None,0,None,22.87,0,0,1992-02-10,NASDAQ,December,0,0,23.4192,4461,3776922000,Banks-Regional,2000-05-16,2:1,2020-12-31,22715748352,SVB Financial Group,0.4685,2.21,19.1421,0,0.421,93.5,2.8829,5.7054,0.3199,0.464,0.493,0.0139,0.172,73.076,3776922112,Financial Services,51578689,51888500,791091,644687,0.0172,0.02,1.89,SIVB,19.1421,SIVB
0,0,0,0,0,0,None,None,Common Stock,None,None,USA,USD,None,0,None,None,None,None,None,0,0,None,NASDAQ,None,0,0,0,None,0,Other,None,None,None,None,Virage Logic Corp,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,Other,0,0,0,0,0,0,0,VIRL,0,VIRL
0,0,XLF
0,0,7.9709,10.2767,12,5.5375,"982 Keynote Circle, Brooklyn Heights, OH, United States, 44131",10.3,Common Stock,1.0796,-2.443,USA,USD,"GrafTech International Ltd. researches, develops, manufactures, and sells graphite and carbon based products worldwide. It offers graphite electrodes, which requires for the production of electric arc furnace steel, ferrous, and non-ferrous metals; and petroleum needle coke, a crystalline form of carbon used in the production of graphite electrodes. The company sells its products primarily through direct sales force, independent sales representatives, and distributors. The company was founded in 1886 and is headquartered in Brooklyn Heights, Ohio. GrafTech International Ltd. is a subsidiary of Brookfield Asset Management Inc.",1.779,2020-12-31,0.04,0.0039,706531968,1.779,5.6495,3.0727,2020-11-27,NYSE,December,0.04,0.0039,5.4705,1346,1040403000,Electrical Equipment & Parts,2010-06-30,100:1,2020-09-30,2591762432,GrafTech International Ltd,0.4966,None,5.4525,0.1002,0.013,91.993,0,2.0295,0.3722,-0.423,-0.318,0.2452,0,4.78,1300962944,Industrials,139386921,267192000,4259919,5162928,0.0627,0.02,1.87,EAF,5.4525,EAF
0,0,34.4316,42.9922,46.04,8.1863,"2000 Avenue of the Stars, Los Angeles, CA, United States, 90067",50.13,Common Stock,2.2054,52.534,USA,USD,"Air Lease Corporation, an aircraft leasing company, engages in the purchase and leasing of commercial jet transport aircraft to airlines worldwide. The company also sells aircraft from its operating lease portfolio to third parties, including other leasing companies, financial services companies, and airlines. In addition, it provides fleet management services to investors and owners of aircraft portfolios. As of December 31, 2019, the company owned a fleet of 275 aircraft, including 203 narrowbody jet aircraft and 89 widebody jet aircraft. Air Lease Corporation was founded in 2010 and is headquartered in Los Angeles, California.",4.875,2021-01-06,0.64,0.0161,1872505984,4.875,9.6559,8.8924,2020-12-17,NYSE,December,0.64,0.0161,7.2727,117,1314094000,Rental & Leasing Services,None,None,2020-09-30,4509062144,Air Lease Corporation,0.5695,0.91,8.1292,0.1768,6.227,106.595,0.7544,2.1756,0.2748,-0.239,-0.07,0.0327,0.0997,18.281,2074893056,Industrials,94907537,113779000,6633318,7016544,0.0624,0.06,9.25,AL,8.1292,AL
